model,condition,alpha,n,correct_pct,correct_lo,correct_hi,steered_pct,steered_lo,steered_hi,other_pct,other_lo,other_hi
M0,clean,0.0,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M0,correct_inject,0.8,11,0.9091,0.7273,1.0,0.0,0.0,0.0,0.0909,0.0,0.2727
M0,steer_heldout,0.8,30,0.0333,0.0,0.1,0.7667,0.6667,0.8667,0.2,0.1,0.3
M0,steer_train,0.8,58,0.0,0.0,0.0,0.8276,0.7458,0.9123,0.1724,0.0877,0.2542
M1,clean,0.0,10,0.9,0.7,1.0,0.0,0.0,0.0,0.1,0.0,0.3
M1,correct_inject,0.8,11,0.9091,0.7273,1.0,0.0,0.0,0.0,0.0909,0.0,0.2727
M1,steer_heldout,0.8,30,0.0667,0.0,0.2,0.7667,0.5667,0.9333,0.1667,0.0667,0.2667
M1,steer_train,0.8,58,0.0517,0.0,0.1579,0.7241,0.5357,0.8596,0.2241,0.1404,0.3052
